,Date,AveragePrice,TotalVolume,type,year,region
23,19/07/2015,0.97,557212.99,conventional,2015,Atlanta
24,12/07/2015,1.14,407204.88,conventional,2015,Atlanta
25,05/07/2015,1.01,562462.33,conventional,2015,Atlanta
26,28/06/2015,1.13,435210.71,conventional,2015,Atlanta
27,21/06/2015,0.99,554763.76,conventional,2015,Atlanta
28,14/06/2015,1.1,465804.78,conventional,2015,Atlanta
29,07/06/2015,0.99,551009.05,conventional,2015,Atlanta
30,31/05/2015,1.1,454702,conventional,2015,Atlanta
31,24/05/2015,0.96,623212.04,conventional,2015,Atlanta
32,17/05/2015,1.11,451250.7,conventional,2015,Atlanta
33,10/05/2015,1.1,480071.18,conventional,2015,Atlanta
34,03/05/2015,1,634213.1,conventional,2015,Atlanta
35,26/04/2015,1.12,448596.76,conventional,2015,Atlanta
36,19/04/2015,1.12,430966.34,conventional,2015,Atlanta
37,12/04/2015,0.99,451101.89,conventional,2015,Atlanta
38,05/04/2015,1.04,383139.49,conventional,2015,Atlanta
39,29/03/2015,1.11,365722.14,conventional,2015,Atlanta
40,22/03/2015,1,479590.62,conventional,2015,Atlanta
41,15/03/2015,1.12,399566.22,conventional,2015,Atlanta
42,08/03/2015,1.1,420826.32,conventional,2015,Atlanta
43,01/03/2015,0.99,512532.44,conventional,2015,Atlanta
44,22/02/2015,1.1,431308.56,conventional,2015,Atlanta
45,15/02/2015,1.06,427391.28,conventional,2015,Atlanta
46,08/02/2015,1.03,433883.91,conventional,2015,Atlanta
47,01/02/2015,0.96,636771.37,conventional,2015,Atlanta
48,25/01/2015,1.1,449332.85,conventional,2015,Atlanta
49,18/01/2015,1.11,431490.99,conventional,2015,Atlanta
50,11/01/2015,1.11,397542.72,conventional,2015,Atlanta
51,04/01/2015,1,435021.49,conventional,2015,Atlanta
0,27/12/2015,1.17,596819.4,conventional,2015,BaltimoreWashington
1,20/12/2015,1.11,642682.4,conventional,2015,BaltimoreWashington
2,13/12/2015,1.15,619509.33,conventional,2015,BaltimoreWashington
3,06/12/2015,1.04,649141.25,conventional,2015,BaltimoreWashington
4,29/11/2015,1.16,545800.05,conventional,2015,BaltimoreWashington
5,22/11/2015,1.12,572019.8,conventional,2015,BaltimoreWashington
6,15/11/2015,1.04,718330.48,conventional,2015,BaltimoreWashington
7,08/11/2015,1.05,830967.23,conventional,2015,BaltimoreWashington
8,01/11/2015,1.12,742220.67,conventional,2015,BaltimoreWashington
9,25/10/2015,1.19,656892.03,conventional,2015,BaltimoreWashington
10,18/10/2015,0.99,1005603.78,conventional,2015,BaltimoreWashington
11,11/10/2015,1.24,653560.14,conventional,2015,BaltimoreWashington
12,04/10/2015,1.28,657444.04,conventional,2015,BaltimoreWashington
13,27/09/2015,1.19,696281.81,conventional,2015,BaltimoreWashington
14,20/09/2015,1.17,709268.62,conventional,2015,BaltimoreWashington
15,13/09/2015,1.09,924993.61,conventional,2015,BaltimoreWashington
16,06/09/2015,1.18,823623.36,conventional,2015,BaltimoreWashington
17,30/08/2015,1.24,734721.29,conventional,2015,BaltimoreWashington
18,23/08/2015,1.16,783935.36,conventional,2015,BaltimoreWashington
19,16/08/2015,1.14,882754.72,conventional,2015,BaltimoreWashington
20,09/08/2015,1.16,821523.45,conventional,2015,BaltimoreWashington
21,02/08/2015,1.17,800603.23,conventional,2015,BaltimoreWashington
22,26/07/2015,1.2,772926.12,conventional,2015,BaltimoreWashington
23,19/07/2015,1.18,800194.34,conventional,2015,BaltimoreWashington
24,12/07/2015,1.1,850931.58,conventional,2015,BaltimoreWashington
25,05/07/2015,1.16,896298.77,conventional,2015,BaltimoreWashington
26,28/06/2015,1.15,862261.64,conventional,2015,BaltimoreWashington
27,21/06/2015,1.16,862840.73,conventional,2015,BaltimoreWashington
28,14/06/2015,1.09,955046.82,conventional,2015,BaltimoreWashington
29,07/06/2015,1.26,794310.29,conventional,2015,BaltimoreWashington
30,31/05/2015,1.19,949177.06,conventional,2015,BaltimoreWashington
31,24/05/2015,1.18,908661.83,conventional,2015,BaltimoreWashington
32,17/05/2015,1.27,790853.86,conventional,2015,BaltimoreWashington
33,10/05/2015,1.26,855205.82,conventional,2015,BaltimoreWashington
34,03/05/2015,1.17,896972.05,conventional,2015,BaltimoreWashington
35,26/04/2015,1.29,747841.09,conventional,2015,BaltimoreWashington
36,19/04/2015,1.28,762862.62,conventional,2015,BaltimoreWashington
37,12/04/2015,1.15,837629.62,conventional,2015,BaltimoreWashington
38,05/04/2015,1.29,688065.45,conventional,2015,BaltimoreWashington
39,29/03/2015,1.25,663677.32,conventional,2015,BaltimoreWashington
40,22/03/2015,1.1,808897.21,conventional,2015,BaltimoreWashington
41,15/03/2015,1.24,693698.13,conventional,2015,BaltimoreWashington
42,08/03/2015,1.26,657745.9,conventional,2015,BaltimoreWashington
43,01/03/2015,1.16,770115.24,conventional,2015,BaltimoreWashington
44,22/02/2015,1.11,749845.79,conventional,2015,BaltimoreWashington
45,15/02/2015,1.25,637319.34,conventional,2015,BaltimoreWashington
46,08/02/2015,1.09,844931.21,conventional,2015,BaltimoreWashington
47,01/02/2015,1.06,1007418.76,conventional,2015,BaltimoreWashington
48,25/01/2015,1.2,692934.46,conventional,2015,BaltimoreWashington
49,18/01/2015,1.23,657741.34,conventional,2015,BaltimoreWashington
50,11/01/2015,1.17,670231.94,conventional,2015,BaltimoreWashington
51,04/01/2015,1.08,788025.06,conventional,2015,BaltimoreWashington
0,27/12/2015,0.97,62909.69,conventional,2015,Boise
1,20/12/2015,1.03,57504.05,conventional,2015,Boise
2,13/12/2015,0.99,58461.05,conventional,2015,Boise
3,06/12/2015,0.71,95295.34,conventional,2015,Boise
4,29/11/2015,1.06,49069.13,conventional,2015,Boise
5,22/11/2015,1.09,52875.58,conventional,2015,Boise
6,15/11/2015,1.01,68648.22,conventional,2015,Boise
7,08/11/2015,1.11,55847.79,conventional,2015,Boise
8,01/11/2015,1.14,53585.51,conventional,2015,Boise
9,25/10/2015,1.11,59874.45,conventional,2015,Boise
10,18/10/2015,1.16,54191.14,conventional,2015,Boise
11,11/10/2015,0.94,80904.19,conventional,2015,Boise
12,04/10/2015,1.12,59496.33,conventional,2015,Boise
13,27/09/2015,0.99,64187.8,conventional,2015,Boise
14,20/09/2015,1.03,73952.9,conventional,2015,Boise
15,13/09/2015,1.08,64208.84,conventional,2015,Boise
16,06/09/2015,1.16,64464.61,conventional,2015,Boise
17,30/08/2015,1.19,60099.83,conventional,2015,Boise
18,23/08/2015,1.05,70773.76,conventional,2015,Boise
19,16/08/2015,1.12,64001.61,conventional,2015,Boise
20,09/08/2015,1.1,61286.98,conventional,2015,Boise
21,02/08/2015,1.07,67763.91,conventional,2015,Boise
22,26/07/2015,1.07,67826.07,conventional,2015,Boise
23,19/07/2015,1.09,63958.04,conventional,2015,Boise
24,12/07/2015,1.05,74677.72,conventional,2015,Boise
25,05/07/2015,1.15,85044.45,conventional,2015,Boise
26,28/06/2015,1.04,75280.41,conventional,2015,Boise
27,21/06/2015,1.06,81397.07,conventional,2015,Boise
28,14/06/2015,0.99,87607.71,conventional,2015,Boise
29,07/06/2015,1.12,80751.29,conventional,2015,Boise
30,31/05/2015,0.97,76689.38,conventional,2015,Boise
31,24/05/2015,1.03,83209.77,conventional,2015,Boise
32,17/05/2015,0.96,77987.53,conventional,2015,Boise
33,10/05/2015,1.06,95788.53,conventional,2015,Boise
34,03/05/2015,1,85466.99,conventional,2015,Boise
35,26/04/2015,0.96,88111.17,conventional,2015,Boise
36,19/04/2015,0.99,89694.96,conventional,2015,Boise
37,12/04/2015,1.19,66246.3,conventional,2015,Boise
38,05/04/2015,1.09,76704.46,conventional,2015,Boise
39,29/03/2015,0.98,74543.98,conventional,2015,Boise
40,22/03/2015,1.17,61419.11,conventional,2015,Boise
41,15/03/2015,1,65918.28,conventional,2015,Boise
42,08/03/2015,1.14,65350.24,conventional,2015,Boise
43,01/03/2015,1.06,75046.37,conventional,2015,Boise
44,22/02/2015,0.99,76836.1,conventional,2015,Boise
45,15/02/2015,1.14,61221.98,conventional,2015,Boise
46,08/02/2015,1.07,69970.75,conventional,2015,Boise
47,01/02/2015,0.91,113578.24,conventional,2015,Boise
48,25/01/2015,1.03,66069.21,conventional,2015,Boise
49,18/01/2015,1.08,62870.49,conventional,2015,Boise
50,11/01/2015,1.18,57355.52,conventional,2015,Boise
51,04/01/2015,1.01,80034.32,conventional,2015,Boise
0,27/12/2015,1.13,450816.39,conventional,2015,Boston
1,20/12/2015,1.07,489802.88,conventional,2015,Boston
2,13/12/2015,1.01,549945.76,conventional,2015,Boston
3,06/12/2015,1.02,488679.31,conventional,2015,Boston
4,29/11/2015,1.19,350559.81,conventional,2015,Boston
5,22/11/2015,1.07,466759.99,conventional,2015,Boston
6,15/11/2015,1.05,513738.98,conventional,2015,Boston
7,08/11/2015,1.04,641759.57,conventional,2015,Boston
8,01/11/2015,1.06,553096.84,conventional,2015,Boston
9,25/10/2015,1.02,534249.47,conventional,2015,Boston
10,18/10/2015,0.94,725296.29,conventional,2015,Boston
11,11/10/2015,1.14,485706.68,conventional,2015,Boston
12,04/10/2015,1.07,536479.42,conventional,2015,Boston
13,27/09/2015,1.07,553307.04,conventional,2015,Boston
14,20/09/2015,1.15,498640.23,conventional,2015,Boston
15,13/09/2015,1.03,655682.95,conventional,2015,Boston
16,06/09/2015,1.11,577774.74,conventional,2015,Boston
17,30/08/2015,1.13,526664.87,conventional,2015,Boston
18,23/08/2015,1.07,589471.32,conventional,2015,Boston
19,16/08/2015,1.15,565795.06,conventional,2015,Boston
20,09/08/2015,1.07,690517.19,conventional,2015,Boston
21,02/08/2015,1.17,571994.5,conventional,2015,Boston
22,26/07/2015,1.28,500233.69,conventional,2015,Boston
23,19/07/2015,1.18,597168.12,conventional,2015,Boston
24,12/07/2015,1.14,634515.74,conventional,2015,Boston
25,05/07/2015,1.27,582909.73,conventional,2015,Boston
26,28/06/2015,1.25,560494.92,conventional,2015,Boston
27,21/06/2015,1.24,543504.66,conventional,2015,Boston
28,14/06/2015,1.08,684346.48,conventional,2015,Boston
29,07/06/2015,1.25,562542.86,conventional,2015,Boston
30,31/05/2015,1.26,565160.95,conventional,2015,Boston
31,24/05/2015,1.14,633521.98,conventional,2015,Boston
32,17/05/2015,1.26,534488.54,conventional,2015,Boston
33,10/05/2015,1.14,625558.14,conventional,2015,Boston
34,03/05/2015,1.17,552368.94,conventional,2015,Boston
35,26/04/2015,1.28,465911.37,conventional,2015,Boston
36,19/04/2015,1.15,504619.83,conventional,2015,Boston
37,12/04/2015,1.26,408485.16,conventional,2015,Boston
38,05/04/2015,1.27,449818.01,conventional,2015,Boston
39,29/03/2015,1.19,453631.25,conventional,2015,Boston
40,22/03/2015,1.18,453173.22,conventional,2015,Boston
41,15/03/2015,1.25,417750.36,conventional,2015,Boston
42,08/03/2015,1.17,408403.96,conventional,2015,Boston
43,01/03/2015,1.11,485736.1,conventional,2015,Boston
44,22/02/2015,1.23,355432.28,conventional,2015,Boston
45,15/02/2015,1.2,399883.99,conventional,2015,Boston
46,08/02/2015,1.04,609985.34,conventional,2015,Boston
47,01/02/2015,1.22,490022.14,conventional,2015,Boston
48,25/01/2015,1.17,409343.56,conventional,2015,Boston
49,18/01/2015,1.23,401331.33,conventional,2015,Boston
50,11/01/2015,1.1,437771.89,conventional,2015,Boston
51,04/01/2015,1.02,491738,conventional,2015,Boston
0,27/12/2015,1.35,96233.08,conventional,2015,BuffaloRochester
1,20/12/2015,1.37,90867.51,conventional,2015,BuffaloRochester
2,13/12/2015,1.35,98473.23,conventional,2015,BuffaloRochester
3,06/12/2015,1.23,108457.82,conventional,2015,BuffaloRochester
4,29/11/2015,1.39,79973.14,conventional,2015,BuffaloRochester
5,22/11/2015,1.4,90242.31,conventional,2015,BuffaloRochester
6,15/11/2015,1.36,99703.72,conventional,2015,BuffaloRochester
7,08/11/2015,1.3,111038.95,conventional,2015,BuffaloRochester
8,01/11/2015,1.23,118541.11,conventional,2015,BuffaloRochester
9,25/10/2015,1.36,99554.55,conventional,2015,BuffaloRochester
10,18/10/2015,1.29,106083.75,conventional,2015,BuffaloRochester
11,11/10/2015,1.3,109153.84,conventional,2015,BuffaloRochester
12,04/10/2015,1.33,98900.48,conventional,2015,BuffaloRochester
13,27/09/2015,1.31,90745.72,conventional,2015,BuffaloRochester
14,20/09/2015,1.54,60624.47,conventional,2015,BuffaloRochester
15,13/09/2015,1.59,73043.2,conventional,2015,BuffaloRochester
16,06/09/2015,1.56,76139.58,conventional,2015,BuffaloRochester
17,30/08/2015,1.38,83731.42,conventional,2015,BuffaloRochester
18,23/08/2015,1.49,68953.29,conventional,2015,BuffaloRochester
19,16/08/2015,1.5,69798.09,conventional,2015,BuffaloRochester
20,09/08/2015,1.47,81830.13,conventional,2015,BuffaloRochester
21,02/08/2015,1.47,78162.92,conventional,2015,BuffaloRochester
22,26/07/2015,1.39,91825.07,conventional,2015,BuffaloRochester
23,19/07/2015,1.36,128846.15,conventional,2015,BuffaloRochester
24,12/07/2015,1.45,127351.46,conventional,2015,BuffaloRochester
25,05/07/2015,1.47,140413.9,conventional,2015,BuffaloRochester
26,28/06/2015,1.36,137246.7,conventional,2015,BuffaloRochester
27,21/06/2015,1.5,108655.36,conventional,2015,BuffaloRochester
28,14/06/2015,1.34,149376.79,conventional,2015,BuffaloRochester
29,07/06/2015,1.38,130908.11,conventional,2015,BuffaloRochester
30,31/05/2015,1.4,130841.08,conventional,2015,BuffaloRochester
31,24/05/2015,1.43,121942.61,conventional,2015,BuffaloRochester
32,17/05/2015,1.35,137050.23,conventional,2015,BuffaloRochester
33,10/05/2015,1.33,170547.18,conventional,2015,BuffaloRochester
34,03/05/2015,1.42,136771.79,conventional,2015,BuffaloRochester
35,26/04/2015,1.41,136964.3,conventional,2015,BuffaloRochester
36,19/04/2015,1.42,139612.52,conventional,2015,BuffaloRochester
37,12/04/2015,1.42,118172.53,conventional,2015,BuffaloRochester
38,05/04/2015,1.44,124145.62,conventional,2015,BuffaloRochester
39,29/03/2015,1.39,119890.65,conventional,2015,BuffaloRochester
40,22/03/2015,1.4,119902.96,conventional,2015,BuffaloRochester
41,15/03/2015,1.47,103413.11,conventional,2015,BuffaloRochester
42,08/03/2015,1.35,125724.96,conventional,2015,BuffaloRochester
43,01/03/2015,1.43,112363.86,conventional,2015,BuffaloRochester
44,22/02/2015,1.41,109546.92,conventional,2015,BuffaloRochester
45,15/02/2015,1.44,100207.14,conventional,2015,BuffaloRochester
46,08/02/2015,1.36,132760.1,conventional,2015,BuffaloRochester
47,01/02/2015,1.33,153920.35,conventional,2015,BuffaloRochester
48,25/01/2015,1.5,114052.94,conventional,2015,BuffaloRochester
49,18/01/2015,1.52,107040.29,conventional,2015,BuffaloRochester
50,11/01/2015,1.54,106221.32,conventional,2015,BuffaloRochester
51,04/01/2015,1.4,116253.44,conventional,2015,BuffaloRochester
0,27/12/2015,0.9,5040365.47,conventional,2015,California
1,20/12/2015,0.94,4695737.21,conventional,2015,California
2,13/12/2015,0.87,5259354.3,conventional,2015,California
3,06/12/2015,0.78,5775536.27,conventional,2015,California
4,29/11/2015,0.91,4575710.62,conventional,2015,California
5,22/11/2015,0.92,4804278.16,conventional,2015,California
6,15/11/2015,0.83,5755190.69,conventional,2015,California
7,08/11/2015,0.98,5148983.51,conventional,2015,California
8,01/11/2015,0.95,5830427.96,conventional,2015,California
9,25/10/2015,1.12,4592461.81,conventional,2015,California
10,18/10/2015,1.07,4999031.79,conventional,2015,California
11,11/10/2015,1.08,5063309.38,conventional,2015,California
12,04/10/2015,1.02,4943781.29,conventional,2015,California
13,27/09/2015,1.04,5216784.63,conventional,2015,California
14,20/09/2015,1.14,4759791.13,conventional,2015,California
15,13/09/2015,1.13,5106508.12,conventional,2015,California
16,06/09/2015,1.09,5806392.78,conventional,2015,California
17,30/08/2015,1.08,5647385.15,conventional,2015,California
18,23/08/2015,1.18,5193221,conventional,2015,California
19,16/08/2015,1.11,5616434.08,conventional,2015,California
20,09/08/2015,1.1,6232081.27,conventional,2015,California
21,02/08/2015,1.16,5428238.87,conventional,2015,California
22,26/07/2015,1.13,5557616.27,conventional,2015,California
23,19/07/2015,1.18,5225200.52,conventional,2015,California
24,12/07/2015,1.13,5451636.92,conventional,2015,California
25,05/07/2015,1.12,6718011.83,conventional,2015,California
26,28/06/2015,1.1,5641742.02,conventional,2015,California
27,21/06/2015,1.07,5952597.29,conventional,2015,California
28,14/06/2015,0.97,6741662.31,conventional,2015,California
29,07/06/2015,0.98,6374842.9,conventional,2015,California
30,31/05/2015,0.98,6236903.31,conventional,2015,California
31,24/05/2015,1.1,5621713.64,conventional,2015,California
32,17/05/2015,1.08,5289138.5,conventional,2015,California
33,10/05/2015,0.93,6650357.96,conventional,2015,California
34,03/05/2015,0.88,8567534.49,conventional,2015,California
35,26/04/2015,1.15,4923565.04,conventional,2015,California
36,19/04/2015,1.05,5871080.81,conventional,2015,California
37,12/04/2015,1.06,5636644.51,conventional,2015,California
38,05/04/2015,1.12,5467155.55,conventional,2015,California
39,29/03/2015,1.1,5341821.67,conventional,2015,California
40,22/03/2015,1.06,5571812.77,conventional,2015,California
41,15/03/2015,1.06,5557163.11,conventional,2015,California
42,08/03/2015,0.96,5990243.89,conventional,2015,California
43,01/03/2015,0.84,6700134.25,conventional,2015,California
44,22/02/2015,0.96,5951871.32,conventional,2015,California
45,15/02/2015,0.96,5699944.93,conventional,2015,California
46,08/02/2015,0.91,5871224.58,conventional,2015,California
47,01/02/2015,0.85,9032180.67,conventional,2015,California
48,25/01/2015,1.06,4929884.26,conventional,2015,California
49,18/01/2015,1.02,5570915.26,conventional,2015,California
50,11/01/2015,0.92,6024932.34,conventional,2015,California
51,04/01/2015,0.93,5777334.9,conventional,2015,California
0,27/12/2015,0.96,156698.24,conventional,2015,Charlotte
1,20/12/2015,0.98,139917.89,conventional,2015,Charlotte
2,13/12/2015,0.95,157146.19,conventional,2015,Charlotte
3,06/12/2015,0.99,156114.08,conventional,2015,Charlotte
4,29/11/2015,0.95,138858.86,conventional,2015,Charlotte
5,22/11/2015,1,133618.33,conventional,2015,Charlotte
6,15/11/2015,1.01,169281.16,conventional,2015,Charlotte
7,08/11/2015,1.03,164322.04,conventional,2015,Charlotte
8,01/11/2015,1.11,171793.87,conventional,2015,Charlotte
9,25/10/2015,1.27,140920.61,conventional,2015,Charlotte
10,18/10/2015,1.26,156565.98,conventional,2015,Charlotte
11,11/10/2015,1.14,167396.56,conventional,2015,Charlotte
12,04/10/2015,1.22,146737.74,conventional,2015,Charlotte
13,27/09/2015,1.09,168780.22,conventional,2015,Charlotte
14,20/09/2015,1.2,161443.98,conventional,2015,Charlotte
15,13/09/2015,1.19,171077.53,conventional,2015,Charlotte
16,06/09/2015,1.01,227728.43,conventional,2015,Charlotte
17,30/08/2015,1.2,179026.88,conventional,2015,Charlotte
18,23/08/2015,1.15,203298.37,conventional,2015,Charlotte
19,16/08/2015,1.24,178525.52,conventional,2015,Charlotte
20,09/08/2015,1.21,173059.32,conventional,2015,Charlotte
21,02/08/2015,1.24,179321.9,conventional,2015,Charlotte
22,26/07/2015,1.23,173896.82,conventional,2015,Charlotte
23,19/07/2015,1.19,187575.03,conventional,2015,Charlotte
24,12/07/2015,1.18,182856.82,conventional,2015,Charlotte
25,05/07/2015,1.18,216118.9,conventional,2015,Charlotte
26,28/06/2015,1.17,193654.01,conventional,2015,Charlotte
27,21/06/2015,1.17,201173.1,conventional,2015,Charlotte
28,14/06/2015,1.15,207093.88,conventional,2015,Charlotte
29,07/06/2015,1.15,199980.3,conventional,2015,Charlotte
30,31/05/2015,1.19,194630.86,conventional,2015,Charlotte
31,24/05/2015,1.2,212527.72,conventional,2015,Charlotte
32,17/05/2015,1.21,190799.99,conventional,2015,Charlotte
33,10/05/2015,1.19,192767.09,conventional,2015,Charlotte
34,03/05/2015,1,261492.2,conventional,2015,Charlotte
35,26/04/2015,1.2,182141.55,conventional,2015,Charlotte
36,19/04/2015,1.18,180944.22,conventional,2015,Charlotte
37,12/04/2015,1.17,204005.24,conventional,2015,Charlotte
38,05/04/2015,1.19,177919.28,conventional,2015,Charlotte
39,29/03/2015,1.23,178788.49,conventional,2015,Charlotte
40,22/03/2015,1.19,182876.15,conventional,2015,Charlotte
41,15/03/2015,1.19,183944.05,conventional,2015,Charlotte
42,08/03/2015,1.25,159386.69,conventional,2015,Charlotte
43,01/03/2015,1.18,176146.34,conventional,2015,Charlotte
44,22/02/2015,1.08,201741.43,conventional,2015,Charlotte
45,15/02/2015,1.22,156798.51,conventional,2015,Charlotte
46,08/02/2015,1.17,150139.38,conventional,2015,Charlotte
47,01/02/2015,0.98,254009.7,conventional,2015,Charlotte
48,25/01/2015,1.18,167270.13,conventional,2015,Charlotte
49,18/01/2015,1.25,152671.15,conventional,2015,Charlotte
50,11/01/2015,1.26,159942.68,conventional,2015,Charlotte
51,04/01/2015,1.19,166006.29,conventional,2015,Charlotte
0,27/12/2015,0.93,661137.13,conventional,2015,Chicago
1,20/12/2015,0.91,690669.34,conventional,2015,Chicago
2,13/12/2015,1.07,668601.5,conventional,2015,Chicago
3,06/12/2015,1.14,664020.49,conventional,2015,Chicago
4,29/11/2015,1.11,602481.22,conventional,2015,Chicago
5,22/11/2015,0.94,751897.89,conventional,2015,Chicago
6,15/11/2015,1.17,641881.96,conventional,2015,Chicago
7,08/11/2015,1.01,711146.61,conventional,2015,Chicago
8,01/11/2015,1,807041.46,conventional,2015,Chicago
9,25/10/2015,1.12,687650.27,conventional,2015,Chicago
10,18/10/2015,1.15,690302.58,conventional,2015,Chicago
11,11/10/2015,1.08,708914.17,conventional,2015,Chicago
12,04/10/2015,1.18,675172.63,conventional,2015,Chicago
13,27/09/2015,1.15,720501.55,conventional,2015,Chicago
14,20/09/2015,1.19,729117.42,conventional,2015,Chicago
15,13/09/2015,1.19,775671.49,conventional,2015,Chicago
16,06/09/2015,1.11,808677.78,conventional,2015,Chicago
17,30/08/2015,1.12,773773.53,conventional,2015,Chicago
18,23/08/2015,1.2,751850.01,conventional,2015,Chicago
19,16/08/2015,1.16,817690.89,conventional,2015,Chicago
20,09/08/2015,1.25,731125.01,conventional,2015,Chicago
21,02/08/2015,1.27,761027.42,conventional,2015,Chicago
22,26/07/2015,1.12,791332.34,conventional,2015,Chicago
23,19/07/2015,1.24,797060.27,conventional,2015,Chicago
24,12/07/2015,1.26,772151.2,conventional,2015,Chicago
25,05/07/2015,1.24,937317.45,conventional,2015,Chicago
26,28/06/2015,1.21,786250.22,conventional,2015,Chicago
27,21/06/2015,1.24,804902.52,conventional,2015,Chicago
28,14/06/2015,1.21,868197.41,conventional,2015,Chicago
29,07/06/2015,1.24,824216.23,conventional,2015,Chicago
30,31/05/2015,1.26,803571.87,conventional,2015,Chicago
31,24/05/2015,1.23,887105.04,conventional,2015,Chicago
32,17/05/2015,1.23,817870.17,conventional,2015,Chicago
33,10/05/2015,1.23,835938.63,conventional,2015,Chicago
34,03/05/2015,1.04,978376.13,conventional,2015,Chicago
35,26/04/2015,1.24,779868.01,conventional,2015,Chicago
36,19/04/2015,1.24,832529.06,conventional,2015,Chicago
37,12/04/2015,1.24,710718.98,conventional,2015,Chicago
38,05/04/2015,1.27,751812.42,conventional,2015,Chicago
